ประเภทรถไฟ,เส้นทางต้นทาง,รหัสสถานีต้นทาง,สถานีต้นทาง,เส้นทางปลายทาง,รหัสสถานีปลายทาง,สถานีปลายทาง,ค่าโดยสารหน่วยบาท,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,N2,Phaya Thai,40,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,N1,Ratchathewi,43,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,CEN,Siam,47,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,E1,Chit Lom,47,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,E2,Phloen Chit,47,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,E3,Nana,47,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,E4,Asok,47,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,E5,Phrom Phong,47,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,E6,Thong Lo,47,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,E7,Ekkamai,47,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,E8,Phra Khanong,47,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,E9,On Nut,47,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,E10,Bang Chak,62,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,E11,Punnawithi,62,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,E12,Udom Suk,62,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,E13,Bang Na,62,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,E14,Bearing,62,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,E15,Samrong,62,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,E16,Pu Chao,62,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,E17,Chang Erawan,62,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,E18,Royal Thai Naval Academy,62,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,E19,Pak Nam,62,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,E20,Srinagarindra,62,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,E21,Phraek Sa,62,,
